,原文,主题分布向量
4992,我草 这学校 有点意思,0.036 0.036 0.036 0.285 0.036 0.036 0.536
4993,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
4994,三个理由………关内都这么会玩了么,0.048 0.048 0.048 0.048 0.048 0.714 0.048
4995,这校长也是当到头了,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4996,年纪不大小作文就写的这么6了啊猥亵也不用说的这么细吧好像在读小说一样,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4997,校长赶紧撤职吧,0.143 0.143 0.142 0.142 0.144 0.143 0.143
4998,山东啊不难理解hhhh,0.143 0.143 0.142 0.142 0.143 0.143 0.143
4999,这学校可真棒真的大无语,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5000,要不化学阉割一下,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5001,不开除留着这种淫贼在学校确定不会影响学生高考吗是不是搞反了,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5002,我脑子有点超载无法负荷最近的新闻是这个世界有问题还是我有问题🤨,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5003,6,0.143 0.143 0.143 0.143 0.143 0.143 0.143
5004,把校长一起开了就行了,0.143 0.143 0.141 0.142 0.144 0.144 0.143
5005,法治社会治疗了谁,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5006,为了学校成绩法律都不顾了,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5007,无语,0.071 0.071 0.071 0.571 0.071 0.071 0.071
5008,不开除怎么想的……,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5009,好好好 我大山东,0.062 0.062 0.062 0.062 0.630 0.062 0.062
5010,那学生自杀了怎么办害群之马就应该开除,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5011,班主任要高考吗,0.143 0.144 0.142 0.142 0.143 0.143 0.143
5012,留着不仅耽误高考祸害了人家一生,0.143 0.143 0.142 0.142 0.144 0.144 0.143
5013,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
5014,为你为什么男老师晚上去女宿舍查寝涉及到老师什么隐私,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5015,嗯嗯山东嘛不开除应该的呀山东尊师重道有传统的嘛,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5016,拉出去斩了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
5017,看几条热搜我觉得好讽刺,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5018,有点本事的都离开山东了,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5019,宿管阿姨真的救了一家,0.143 0.144 0.142 0.142 0.143 0.143 0.143
5020,喔吼,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5021,神经,0.143 0.143 0.141 0.142 0.144 0.144 0.143
5022,学校的态度太毁三观了建议把做这个决定的校长一起开除省的影响高考了,0.143 0.144 0.142 0.142 0.143 0.143 0.143
5023,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
5024,没啥好说的 通报加开除 都在关心老师怎么样 怎么不关心女孩子怎么样会不会留下心理阴影影响今后的生活 会不会影响高考成绩耽误前程,0.024 0.024 0.024 0.024 0.024 0.024 0.857
5025,这怕是要坐牢吧还开除,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5026,怕加害者紫砂所以受害者你忍忍吧逻辑满分,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5027,他承受不了压力自杀怎么办那女生承受不了压力自杀怎么办有病吧,0.143 0.144 0.142 0.142 0.143 0.143 0.143
5028,还tm考虑犯人的情绪他干的这等好事不应该马上通报给他爹妈岳父岳母小区居委会么最好大喇叭循环播放,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5029,留着不是更耽误么,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5030,jmyz,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5031,校方给出的三个理由很可笑为什么受害者要体谅宽恕犯罪者作恶带来的后果,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5032,把校长也开了吧,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5033,这让这个女孩儿怎么高考,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5034,为什么能查寝会涉及到隐私,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5035,班主任还去高考啊他不去耽误个屁这个校长一起查查吧他跟班主任是不是有什么不可告人的交易,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5036,建议一窝端🙏,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5037,家长私下解决他吧这很困难吗,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5038,建议开除校长,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5039,不开除才影响高考呢,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5040,醉酒借口掩盖自己的卑劣怎么不去找上司因为就算醉了心里清楚得很不能得罪所以只能找学生好欺负啊,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5041,男老师为什么能进女寝 当年我们男班主任都是拜托隔壁女班主任查寝,0.065 0.612 0.065 0.065 0.065 0.065 0.065
5042,笑死我了这还不开除 差他一个,0.143 0.143 0.139 0.141 0.145 0.147 0.142
5043,见人,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5044,魔幻的世界魔幻的理由都是魔鬼吧,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5045,查查是不是惯犯,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5046,学校根本不是教育人的地方只是个企业了,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5047,@Lxxinyy妤 真的震撼,0.143 0.143 0.140 0.141 0.144 0.147 0.142
5048,没有别的老师了,0.143 0.144 0.142 0.142 0.143 0.143 0.143
5049,这不应该抓起来吗 学校就这一个老师啊 真是有病,0.036 0.036 0.036 0.786 0.036 0.036 0.036
5050,如果猥亵你家的你还能担心高考,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5051,@大米米,0.143 0.144 0.142 0.142 0.143 0.144 0.143
5052,明面上的都出现一个了暗地里做的还没被曝光的事可能更多,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5053,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
5054,高考凌驾于法律之上,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5055,能物理阉割掉嘛,0.143 0.143 0.141 0.142 0.145 0.143 0.143
5056,这个学校也是藏污纳垢之地,0.143 0.143 0.142 0.142 0.144 0.144 0.143
5057,我真的受不了这种以看似出发点是好的其实就是和稀泥式解决问题来伤害受害者的解决方式,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5058,1他为人师表做出这种事事发了还要拿学生当挡箭牌2.他老婆就活该被瞒着然后跟猥亵犯继续生活3他受不了他做这种事的时候怎么没有想过学生受不受的了,0.048 0.048 0.048 0.048 0.714 0.048 0.048
5059,死,0.143 0.143 0.143 0.143 0.143 0.143 0.143
5060,当地女生们看到了都别去这个学校学生被猥亵了学校还护着罪犯,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5061,问题是男老师单独查女寝本来就有问题,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5062,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
5063,我以前读的高中男老师也可以进女生宿舍查寝但是是在宿舍没有学生的时候我还是觉得不太妥当私人物品什么的,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5064,这是什么混蛋学校女生承受多少压力害怕郑怎么样真是想的全是利益没有任何一丝丝为受害者着想过校长也要下岗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5065,留着过年,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5066,查一查这个校长有没有违法乱纪不然怎么会共情一个罪犯,0.143 0.143 0.142 0.142 0.144 0.144 0.143
5067,笑死我了 这人渣,0.048 0.048 0.714 0.048 0.048 0.048 0.048
5068,承受不了压力自杀了不是好事吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5069,什么年代还用酒后讲事情他酒后怎么没去趟火车轨道,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5070,现在不开除 考完了直接大事化小小事化了不用开了 🐮,0.143 0.146 0.140 0.141 0.144 0.144 0.142
5071,校方就是在保护加害者难道不是自己不干净一起做过坏事怕被咬出来,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5072,我真吐了 这也配叫学校真给即墨抹黑,0.048 0.048 0.048 0.048 0.048 0.714 0.048
5073,哦山东啊那能理解了连女人都不能上桌的地方做什么都不奇怪了,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5074,所以啊男性的性龌鹾思想,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5075,又是归于酒后,0.143 0.143 0.142 0.142 0.144 0.144 0.143
5076,一丘之貉,0.143 0.143 0.141 0.142 0.144 0.144 0.143
5077,孩子胆战心惊的上学还合计高考,0.143 0.144 0.142 0.142 0.143 0.143 0.143
5078,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
5079,是觉得一个受害者还不够,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5080,男人酒后的一些行为就能接受想想平时这玩意儿pua大师啊,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5081,@_月亮是湖,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5082,不开除反而更耽误所有学生高考吧,0.143 0.143 0.141 0.142 0.144 0.144 0.143
5083,凭什么不告诉家属,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5084,真的吐了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5085,告去教育局啊,0.143 0.144 0.142 0.142 0.143 0.143 0.143
5086,怕坏人承受不了压力自杀受害人承受的了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5087,想拉其他正常男人下水是吧,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5088,难道教书育人只有成绩重要品德就不重要,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5089,把校长一起开掉效果更好,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5090,是不是每次都得让学生用生命证明一些什么你们才能真的做些什么,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5091,刑法第二百三十七条规定以暴力胁迫或者其他方法强制猥亵他人或者侮辱妇女的处五年以下有期徒刑或者拘役,0.143 0.143 0.141 0.142 0.145 0.144 0.143
5092,放狗屁,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5093,这要是没关系谁信,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5094,@Neil_Watts,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5095,我的天哪这学校,0.143 0.144 0.142 0.142 0.143 0.143 0.143
5096,真不是人直接死刑吧把转世投胎的机会留给别人,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5097,男老师这个身份到底是什么免死金牌啊……前一阵碾压致死学生的男老师也没什么后续了这又来一个真是无语,0.064 0.064 0.064 0.064 0.616 0.064 0.064
5098,校长一起开除,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5099,现在都没正常人了吗我之前也差点被班主任猥亵后来跑出去了但是没敢告他不能怪我不敢告因为我告了我只会更危险我出过几次事报过警警察都不管,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5100,蛇鼠一窝,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5101,都不担心学生的人生吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5102,把他开除坐牢 校长一起滚,0.048 0.048 0.048 0.048 0.714 0.048 0.048
5103,学校居然包庇罪犯 孩子们的安全谁来保障无法无天啊 可悲啊 越来越失望了,0.029 0.029 0.029 0.828 0.029 0.029 0.029
5104,看来这个学校校风和价值观有问题,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5105,这逆向思维可以反向不耽误,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5106,...卧槽和韩国那个新闻里的班主任猥亵高考女生的事情好像老师被处理了之后那个女生还被班级里的同学霸凌了说你把老师搞走了我们怎么高考,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5107,这还不开除呀,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5108,禽兽如何为师校方的决定真是反人类的操作啊支持女生勇敢的行为不畏惧也请坚强下去你没有错安心考试,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5109,怕老师自杀怎么不怕学生自杀,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5110,三个理由每一个都无耻到我笑出了声这种学校连夜跑路吧,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5111,牛逼,0.071 0.571 0.071 0.071 0.071 0.071 0.071
5112,每一句话都好典,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5113,深井冰,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5114,谁在乎一个女生是否受伤害,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5115,#班主任猥亵女生校方称怕耽误高考不开除#三个理由一是怕耽误其他学生高考目前不能将郑某某开除二是不能将这件事坦白给郑的妻子郑的妻子在该校担任生物老师并且家属也是无辜的一方第三个理由是要顾及郑某某的社会形象和抗压能力这个事一旦公之于众他承受不了压力去自杀怎么办,0.714 0.048 0.048 0.048 0.048 0.048 0.048
5116,呵呵校长也该开除,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5117,太好了没人地域黑,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5118,法律是找找借口就能混过去的,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5119,有啥耽误的学生学自己的跟班主任关系很大吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5120,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
5121,这是第一次嘛,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5122,老师校长都不是好东西,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5123,就这种老师不开除等着以后别的学生受更大的伤害吗无语,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5124,这种罪犯班主任留在学校不膈应吗,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5125,垃圾东西只敢没皮没脸的事,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5126,留在学校还有哪个家长敢把孩子送进学校,0.143 0.143 0.141 0.142 0.144 0.143 0.143
5127,这样的就不能再执教了好吗给它留案底,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5128,@钮祜禄暴发户,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5129,留着这老师在学校里难道不更影响高考吗,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5130,不开除的理由一个都不成立别把罪犯应该自食的恶果加到被害人身上他不管是家庭破裂还是抑郁自闭都是自作自受,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5131,男人酒后的一些行为 为啥没有女人酒后的一些行为 因为这都是色欲熏心的借口以己度人以为所有男人跟他都一样,0.036 0.786 0.036 0.036 0.036 0.036 0.036
5132,6,0.143 0.143 0.143 0.143 0.143 0.143 0.143
5133,还留着 这学校负责人脑袋里有寄生虫吗,0.048 0.048 0.048 0.048 0.048 0.714 0.048
5134,六啊这学校,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5135,这个事一旦公之于众他承受不了压力去自杀怎么办 这特么是校方发言,0.048 0.048 0.048 0.048 0.714 0.048 0.048
5136,作为过来人给她讲讲男人的一些酒后行为,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5137,学校没老师了吗,0.143 0.143 0.141 0.142 0.144 0.143 0.143
5138,智商鉴定器,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5139,这叫猥亵,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5140,他的学生谁还敢给他教啊,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5141,学校在当地都有保护伞不搞出人命事儿都给平了关系硬搞出人命也没事儿滋生黑恶势力的温床,0.143 0.143 0.141 0.142 0.144 0.144 0.143
5142,师德何在,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5143,有这样的学校领导难怪有这样的老师,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5144,为什么不开除留着继续祸害其他女孩吗,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5145,到底是谁可怜校长是这个老师的亲爹吗这犊子护得,0.143 0.144 0.142 0.142 0.143 0.143 0.143
5146,关系可以啊,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5147,第三个理由是要顾及郑某某的社会形象和抗压能力这个事一旦公之于众他承受不了压力去自杀怎么办,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5148,价值观碎一地,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5149,这世界乱套了嘛,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5150,男老师凭什么查女寝,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5151,怎么可能开除最多调后勤去,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5152,他忍不住自杀怎么办那女生受不了自杀了怎么办,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5153,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
5154,不开除更让学生担惊受怕,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5155,考虑老师会不会自杀但是不考虑女生会不会自杀,0.143 0.144 0.142 0.142 0.143 0.143 0.143
5156,什么样的价值观 能说出惩罚犯罪份子是耽误学生高考没救了这个学校,0.048 0.048 0.714 0.048 0.048 0.048 0.048
5157,这个学校的领导们强制报告制度了解一下,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5158,留他在继续犯罪吗,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5159,这个学校的思想和做法也真是奇葩还留着高考用人该开除赶紧开除高考不差一个老师为人师表连道德都没有还想着能带得好一班学生高考取分你让受害者女生和家属怎么想怎么看让民众怎么想怎么看,0.143 0.143 0.141 0.142 0.144 0.144 0.143
5160,一丘之貉,0.143 0.143 0.141 0.142 0.144 0.144 0.143
5161,同是山东人挺能理解山东男人酒后确实不太能控制得了自己面对的又是年轻漂亮的女学生很难把持住所以我建议高中别招男老师不然太危险了对老师对学生都好,0.143 0.143 0.142 0.142 0.144 0.143 0.143
5162,要暂多久暂个几年,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5163,他犯案的时候怎么不考虑社会影响,0.143 0.143 0.142 0.142 0.143 0.143 0.143
5164,这几条一出 人家女孩子想不开怎么办,0.048 0.048 0.048 0.048 0.714 0.048 0.048
5165,原来是学校离不开流氓,0.143 0.143 0.142 0.142 0.143 0.144 0.143
5166,学校里有这样的老师女学生才要害怕吧怕老师自杀不怕受害女生做出什么过激行为吗,0.143 0.143 0.142 0.142 0.143 0.144 0.143
